,Actual,SARIMAX Temperature Forecast,Lower 95% CI,Upper 95% CI,Observed Berlin Temperature
2018-10-14,55848.94047619047,57068.274262792904,53963.51071365591,60173.0378119299,14.4
2018-10-21,55762.125,57547.303090651694,54061.424974702684,61033.181206600704,11.957142857142857
2018-10-28,58684.71428571428,58590.8715975144,54439.71187686366,62742.03131816514,8.842857142857143
2018-11-04,55917.58928571428,54062.156623759176,49415.499173887976,58708.814073630376,8.685714285714285
2018-11-11,58163.47023809524,58915.70267538677,53691.20339363521,64140.20195713833,9.671428571428573
2018-11-18,59696.083333333336,60051.1000584366,53865.56998256455,66236.63013430864,6.6000000000000005
2018-11-25,61553.36309523809,60895.5912586686,53907.38908344893,67883.79343388828,2.185714285714286
2018-12-02,62379.15476190476,61581.56308785908,53978.8355205186,69184.29065519955,1.4857142857142858
2018-12-09,62322.69047619047,62299.07736056794,53750.8566998761,70847.29802125978,6.6
2018-12-16,63243.5,62153.348646636376,52687.81816479231,71618.87912848045,1.1999999999999997
2018-12-23,59408.55952380953,56926.32509257116,46665.583201286325,67187.066983856,3.585714285714286
2018-12-30,49075.583333333336,46983.87861497046,35836.84417036323,58130.913059577695,5.014285714285714
2019-01-06,53805.875,53680.17637597059,41543.213104341674,65817.1396475995,2.957142857142857
2019-01-13,62372.20238095238,58180.44404954093,45163.509317970565,71197.37878111129,3.085714285714286
2019-01-20,62423.494047619046,59891.1549030052,45943.266085527146,73839.04372048326,1.7428571428571427
2019-01-27,63587.01190476191,58801.82908712416,43876.007078343304,73727.65109590502,-2.385714285714286
2019-02-03,62088.767857142855,58778.47364891201,42888.271011714314,74668.67628610971,0.32857142857142857
2019-02-10,62359.53571428572,58142.09226771457,41306.886099792755,74977.29843563639,3.685714285714286
2019-02-17,60799.005952380954,57553.2294172307,39715.79740070323,75390.66143375817,4.6000000000000005
2019-02-24,59467.517857142855,57128.3858863875,38306.68485841835,75950.08691435665,4.2
2019-03-03,58481.82142857143,58918.56239774013,39109.48571089994,78727.63908458031,5.8428571428571425
2019-03-10,58990.95238095238,55261.46269430376,34454.31176272442,76068.6136258831,7.371428571428572
2019-03-17,60078.91071428572,56712.819927544995,34891.08180853647,78534.55804655352,6.057142857142857
2019-03-24,57649.36309523809,56110.18509625909,33290.487965222375,78929.8822272958,7.3
2019-03-31,56771.51190476191,50659.61105250172,26823.47117540524,74495.7509295982,7.357142857142857
2019-04-07,56433.857142857145,49799.23819036498,24947.230939766767,74651.24544096319,10.771428571428572
2019-04-14,56765.97023809524,52005.07403372908,26133.214492503063,77876.9335749551,5.542857142857143
2019-04-21,51656.26190476191,49577.223485291805,22689.034360795817,76465.41260978779,11.142857142857142
2019-04-28,52336.75,49671.7075658545,21755.222646973583,77588.19248473542,15.028571428571428
2019-05-05,53123.17261904762,47371.21972862453,18433.167477586747,76309.27197966231,9.385714285714286
2019-05-12,56023.57738095238,47470.72551916141,17505.384685504276,77436.06635281854,10.514285714285714
2019-05-19,55285.59523809524,49355.145912486165,18364.01950207188,80346.27232290045,12.042857142857143
2019-05-26,54945.35119047619,47264.918471003184,15243.475270884708,79286.36167112166,15.785714285714286
2019-06-02,51308.80357142857,47523.5578855294,14476.504770811734,80570.61100024707,17.82857142857143
2019-06-09,54528.16071428572,48931.584229722124,14853.71994774435,83009.4485116999,22.957142857142856
2019-06-16,52286.708333333336,47899.54836114755,12794.18834858483,83004.90837371026,22.557142857142857
2019-06-23,52541.21428571428,47845.34846912151,11710.197981941266,83980.49895630176,22.24285714285714
2019-06-30,55955.28571428572,46757.9080429551,9595.836160554005,83919.9799253562,24.485714285714288
2019-07-07,55179.630952380954,47495.83203200213,9304.254853318453,85687.40921068582,17.95714285714286
2019-07-14,53908.166666666664,44960.824007139585,5743.328005510106,84178.32000876906,17.214285714285715
2019-07-21,53511.96428571428,44202.714498180736,3957.6711796869786,84447.7578166745,19.900000000000002
2019-07-28,54207.10119047619,45394.81042714269,4124.98435893812,86664.63649534727,24.585714285714285
2019-08-04,52392.10119047619,45358.19527541791,3062.7817764073625,87653.60877442846,21.414285714285715
2019-08-11,52019.05357142857,44112.858970576934,794.8681007694831,87430.84984038438,21.37142857142857
2019-08-18,51155.23809523809,42793.57649039854,-1547.6603515319584,87134.81333232904,18.928571428571427
2019-08-25,51838.130952380954,43384.62262604836,-1976.956836545789,88746.20208864252,20.82857142857143
2019-09-01,54091.97023809524,42346.087917861434,-4035.8370828573097,88728.01291858018,24.97142857142857
2019-09-08,52443.16071428572,43213.63960553182,-4185.935120331742,90613.21433139537,16.67142857142857
2019-09-15,53348.48809523809,42979.23024694579,-5437.744589806789,91396.20508369838,15.685714285714287
2019-09-22,53222.54761904762,44393.59894695558,-5038.008481961864,93825.20637587302,12.885714285714286
2019-09-29,54829.47619047619,42652.14378345797,-7793.576948782444,93097.86451569838,15.114285714285714
2019-10-06,52330.630952380954,40848.68742680734,-10608.529532454326,92305.904386069,10.4
2019-10-13,55801.708333333336,43339.074020336644,-9832.95298550729,96511.10102618058,12.185714285714285
